--------- beginning of system
01-30 13:43:53.871   772   772 W wificond: Scheduled scan is not running!
01-30 13:43:53.918  1089  1384 I chatty  : uid=1000(system) WifiHandlerThre expire 1 line
01-30 13:43:55.244  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 2 lines
01-30 13:43:55.946   395   445 E NetlinkEvent: NetlinkEvent::FindParam(): Parameter 'INTERFACE' not found
01-30 13:43:55.946   395   445 E NetlinkEvent: NetlinkEvent::FindParam(): Parameter 'STATE' not found
01-30 13:43:55.946   395   445 E NetlinkEvent: NetlinkEvent::FindParam(): Parameter 'TIME_NS' not found
01-30 13:43:55.946   395   445 E NetlinkEvent: NetlinkEvent::FindParam(): Parameter 'UID' not found
01-30 13:43:55.959  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-30 13:43:56.250  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 13:43:57.653  1089  2719 I chatty  : uid=1000(system) Binder:1089_1E expire 112 lines
01-30 13:43:57.696  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-30 13:43:57.716  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 7 lines
01-30 13:43:57.836  1089  1177 I chatty  : uid=1000(system) android.fg expire 1 line
01-30 13:43:59.945  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 1 line
01-30 13:44:01.545  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 13 lines
01-30 13:44:02.002  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 13:44:02.033  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 12 lines
01-30 13:44:02.263  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 39 lines
01-30 13:44:02.264  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 13:44:02.509  1089  1177 I chatty  : uid=1000(system) android.fg expire 1 line
01-30 13:44:02.981  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 1 line
01-30 13:44:04.837  1089  2719 I chatty  : uid=1000(system) Binder:1089_1E expire 1 line
01-30 13:44:07.061  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 2 lines
01-30 13:44:07.459  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 2 lines
01-30 13:44:08.944  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 1 line
01-30 13:44:09.102  1089  1677 I chatty  : uid=1000(system) Binder:1089_6 expire 1 line
01-30 13:44:09.123  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 1 line
01-30 13:44:09.165  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 13:44:09.939   395  4050 W SocketClient: write error (Broken pipe)
01-30 13:44:10.430  1089  4077 I chatty  : uid=1000(system) Binder:1089_13 expire 1 line
01-30 13:44:10.431  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 35 lines
01-30 13:44:10.495  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 4 lines
01-30 13:44:10.799  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 5 lines
01-30 13:44:10.842  1089  2339 I chatty  : uid=1000(system) Binder:1089_1C expire 1 line
01-30 13:44:10.958  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 2 lines
01-30 13:44:13.125  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 2 lines
01-30 13:44:14.796  1089  4077 I chatty  : uid=1000(system) Binder:1089_13 expire 1 line
01-30 13:44:17.283  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 25 lines
01-30 13:44:17.461  1089  2340 I chatty  : uid=1000(system) Binder:1089_1D expire 3 lines
01-30 13:44:17.633  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 13:44:18.097  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 13:44:18.193  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 4 lines
01-30 13:44:18.821  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 5 lines
01-30 13:44:21.033  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 4 lines
01-30 13:44:23.516  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-30 13:44:25.774  1089  2719 I chatty  : uid=1000(system) Binder:1089_1E expire 7 lines
01-30 13:44:27.142  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 9 lines
01-30 13:44:27.326  1475  1670 E ActivityThread: Failed to find provider info for com.google.android.deskclock.provider
01-30 13:44:29.939  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 21 lines
01-30 13:44:30.366  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 8 lines
01-30 13:44:34.387  1089  1177 I chatty  : uid=1000(system) android.fg expire 1 line
01-30 13:44:39.111  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-30 13:44:39.682  1089  1641 I chatty  : uid=1000(system) Binder:1089_19 expire 1 line
01-30 13:44:40.565  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 1 line
01-30 13:44:40.569  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 2 lines
01-30 13:44:40.637  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 1 line
01-30 13:44:40.638  1089  3916 I chatty  : uid=1000(system) Binder:1089_10 expire 1 line
01-30 13:44:40.638  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 7 lines
01-30 13:44:40.644  1089  1641 I chatty  : uid=1000(system) Binder:1089_19 expire 2 lines
01-30 13:44:41.742  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 13:44:41.745  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 20 lines
01-30 13:44:42.592  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 1 line
01-30 13:44:42.647  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 3 lines
01-30 13:44:42.741  1089  1178 I chatty  : uid=1000(system) android.ui expire 2 lines
01-30 13:44:42.767  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 4 lines
01-30 13:44:43.209  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 1 line
01-30 13:44:43.209  1089  1310 I chatty  : uid=1000(system) Binder:1089_4 expire 1 line
01-30 13:44:43.211  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 2 lines
01-30 13:44:43.224  1089  1177 I chatty  : uid=1000(system) android.fg expire 1 line
01-30 13:44:43.427  1089  2333 I chatty  : uid=1000(system) Binder:1089_1B expire 1 line
01-30 13:44:43.768  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 2 lines
01-30 13:44:46.136  1089  2281 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 13:44:46.383  1089  1311 I chatty  : uid=1000(system) Binder:1089_5 expire 1 line
01-30 13:44:46.384  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 3 lines
01-30 13:44:46.386  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-30 13:44:46.596  1089  2339 I chatty  : uid=1000(system) Binder:1089_1C expire 1 line
01-30 13:44:47.229  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 27 lines
01-30 13:44:47.966  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 6 lines
01-30 13:44:48.874  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 1 line
01-30 13:44:49.216   395  2055 W SocketClient: write error (Broken pipe)
01-30 13:44:49.219   395  2056 W SocketClient: write error (Broken pipe)
01-30 13:44:49.221   395  2062 W SocketClient: write error (Broken pipe)
01-30 13:44:49.233   395  2135 W SocketClient: write error (Broken pipe)
01-30 13:44:49.741  1089  2798 I chatty  : uid=1000(system) Binder:1089_1F expire 1 line
01-30 13:44:49.885  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 13:44:49.896  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 2 lines
01-30 13:44:50.101  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 1 line
01-30 13:44:50.108   395  2530 W SocketClient: write error (Broken pipe)
01-30 13:44:50.560  1089  3916 I chatty  : uid=1000(system) Binder:1089_10 expire 4 lines
01-30 13:44:50.667  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 33 lines
01-30 13:44:50.748  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 3 lines
01-30 13:44:50.748  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 2 lines
01-30 13:44:50.748  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 3 lines
01-30 13:44:50.750  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-30 13:44:50.903  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 5 lines
01-30 13:44:51.989  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 4 lines
01-30 13:44:52.324  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 6 lines
01-30 13:44:53.612  1089  3390 I chatty  : uid=1000(system) Binder:1089_D expire 3 lines
01-30 13:44:57.351  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-30 13:45:00.515  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 1 line
01-30 13:45:04.531  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 1 line
01-30 13:45:04.532  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 33 lines
01-30 13:45:07.241  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 6 lines
01-30 13:45:07.308  1089  2339 I chatty  : uid=1000(system) Binder:1089_1C expire 11 lines
01-30 13:45:09.268  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 7 lines
01-30 13:45:09.270  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 5 lines
01-30 13:45:11.343  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 5 lines
01-30 13:45:21.502  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 2 lines
01-30 13:45:27.745  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 1 line
01-30 13:45:29.368  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 30 lines
01-30 13:45:31.171  1089  2339 I chatty  : uid=1000(system) Binder:1089_1C expire 4 lines
01-30 13:45:31.435  1089  1816 I chatty  : uid=1000(system) Binder:1089_7 expire 1 line
01-30 13:45:32.176  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 12 lines
01-30 13:45:32.589  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-30 13:45:34.091  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 3 lines
01-30 13:45:34.093  1089  3390 I chatty  : uid=1000(system) Binder:1089_D expire 5 lines
01-30 13:45:34.424  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 6 lines
01-30 13:45:34.799  1089  2461 I chatty  : uid=1000(system) Binder:1089_C expire 1 line
01-30 13:45:37.707  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 2 lines
01-30 13:45:37.715  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 2 lines
01-30 13:45:37.894  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 13:45:38.340  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 1 line
01-30 13:45:38.848  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 1 line
01-30 13:45:38.849  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 2 lines
01-30 13:45:39.382  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 15 lines
01-30 13:45:41.078  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 1 line
01-30 13:45:41.081  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 7 lines
01-30 13:45:42.787  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 27 lines
01-30 13:45:43.376  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 3 lines
01-30 13:45:45.415  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 2 lines
01-30 13:45:45.968  1089  1188 I chatty  : uid=1000(system) android.bg expire 18 lines
01-30 13:45:48.218  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 4 lines
01-30 13:45:49.116  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 13:45:49.858  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 10 lines
01-30 13:45:49.879  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 19 lines
01-30 13:45:49.885  1089  1188 I chatty  : uid=1000(system) android.bg expire 14 lines
01-30 13:45:49.890  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 11 lines
01-30 13:45:49.954  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 3 lines
01-30 13:45:49.981  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 11 lines
01-30 13:45:51.325  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 7 lines
01-30 13:45:54.294  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 10 lines
01-30 13:45:54.298  1089  1188 I chatty  : uid=1000(system) android.bg expire 31 lines
01-30 13:45:54.301  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 22 lines
01-30 13:45:54.350  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 11 lines
01-30 13:45:54.642  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 19 lines
01-30 13:45:54.841  1089  1188 I chatty  : uid=1000(system) android.bg expire 31 lines
01-30 13:45:54.842  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 21 lines
01-30 13:45:55.138  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 2 lines
01-30 13:45:55.158  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 17 lines
01-30 13:45:55.162  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 16 lines
01-30 13:45:56.009  1089  1188 I chatty  : uid=1000(system) android.bg expire 26 lines
01-30 13:45:56.120  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 13 lines
01-30 13:45:56.162  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 15 lines
01-30 13:45:56.166  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 20 lines
01-30 13:45:56.530  1089  1188 I chatty  : uid=1000(system) android.bg expire 27 lines
01-30 13:45:56.559  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 3 lines
01-30 13:45:56.615  1089  1188 I chatty  : uid=1000(system) android.bg expire 22 lines
01-30 13:45:56.625  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 23 lines
01-30 13:45:56.630  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 24 lines
01-30 13:45:57.959  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 13 lines
01-30 13:45:57.962  1089  1188 I chatty  : uid=1000(system) android.bg expire 36 lines
01-30 13:45:57.965  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 25 lines
01-30 13:45:58.042  1089  3897 I chatty  : uid=1000(system) Binder:1089_21 expire 16 lines
01-30 13:45:58.095  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 11 lines
01-30 13:45:58.130  1089   710 I chatty  : uid=1000(system) Binder:1089_3 expire 1 line
01-30 13:45:58.183  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-30 13:45:58.196  1089  1188 I chatty  : uid=1000(system) android.bg expire 13 lines
01-30 13:45:58.218  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 18 lines
01-30 13:45:58.220  1089  1188 I chatty  : uid=1000(system) android.bg expire 21 lines
01-30 13:45:58.222  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 19 lines
01-30 13:45:58.226  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 30 lines
01-30 13:45:58.327  1089  3547 I chatty  : uid=1000(system) Binder:1089_E expire 12 lines
01-30 13:45:58.572  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 1 line
01-30 13:45:58.573  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 1 line
01-30 13:45:58.573  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 1 line
01-30 13:45:58.582  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 4 lines
01-30 13:45:59.077  1089  1188 I chatty  : uid=1000(system) android.bg expire 20 lines
01-30 13:45:59.118  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 5 lines
01-30 13:45:59.126  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 14 lines
01-30 13:45:59.594  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-30 13:45:59.595  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 22 lines
01-30 13:46:03.938  1089   387 I chatty  : uid=1000(system) Binder:1089_16 expire 1 line
01-30 13:46:13.032  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 2 lines
01-30 13:46:13.036  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 1 line
01-30 13:46:13.037  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 1 line
01-30 13:46:13.040  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 4 lines
01-30 13:46:14.212  3819   872 E ActivityThread: Failed to find provider info for androidx.car.app.connection
01-30 13:46:16.435  1089  1150 I chatty  : uid=1000(system) Binder:1089_2 expire 1 line
01-30 13:46:19.045  1089  1875 I chatty  : uid=1000(system) Binder:1089_9 expire 3 lines
01-30 13:46:21.842  1089  3643 I chatty  : uid=1000(system) Binder:1089_F expire 6 lines
01-30 13:46:44.508  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 37 lines
01-30 13:46:51.453  1089  2453 I chatty  : uid=1000(system) Binder:1089_B expire 1 line
01-30 13:46:54.081  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 4 lines
01-30 13:46:54.640  1619  1619 D ActivityThread: Loading provider contacts;com.android.contacts: com.android.providers.contacts.ContactsProvider2
